Facility Code,Health Facility Code Short,Health Facility Code Duplicate 1,Source Duplicate 1,Duplicate 1 Date Collected,Health Facility Code Duplicate 2,Source Duplicate 2,Duplicate 2 Date Collected,Health Facility Code Duplicate 3,Source Duplicate 3,Duplicate 3 Date Collected,Health Facility Code Duplicate 4,Source Duplicate 4,Duplicate 4 Date Collected,SPEED Code,Source SPEED Code,SPEED Code Date Collected,PhilHealth Registration Number,Source Phil Health Code,Phil Health Code Date Collected,Health Facility Authorization/License to Operate,Source LTO Code,LTO Code Date Collected,Facility Name,Source Facility Name,Facility Name Date Collected,Old Health Facility Name 1,Source Old Health Facility Name 1,Old Health Facility Name 1 Date Collected,Old Health Facility Name 2,Source Old Health Facility Name 2,Old Health Facility Name 2 Date Collected,Old Health Facility Name 3,Source Old Health Facility Name 3,Old Health Facility Name 3 Date Collected,Health Facility Type,Source Health Facility Type,Health Facility Type Date Collected,Ownership Major Classification,Source Ownership Major Classification,Ownership Major Classification Date Collected,Ownership Sub-Classification for Government facilities,Source Ownership Sub-Classification for Government facilities,OSC Government Date Collected,Ownership Sub-Classification for private facilities,Source Ownership Sub-Classification for private facilities,OSC Private Date Collected,Street Name and #,Source Street Name and #,Street Name and # Date Collected,Building name and #,Source Building name and #,Building name and # Date Collected,Region Name                                             ,Source Region Name,Region Name Date Collected,Region PSGC,Province Name ,Source Province Name,Province Name  Date Collected,Province PSGC,City/Municipality Name,Source City/Municipality Name,City/Municipality Name Date Collected,City/Municipality PSGC,Barangay Name,Source Barangay Name,Barangay Name Date Collected,Barangay PSGC,Zip Code,Source Zip code,Zip Code Date Collected,Landline Number 1,Source Landline Number 1,Landline Number 1 Date Collected,Landline Number 2,Source Landline Number 2,Landline Number 2 Date Collected,Mobile Number 1,Source Mobile Number,Mobile Number Date Collected,Mobile Number 2,mobile number 2 src,mobile number 2 dt,Fax Number,Source Fax Number,Fax Number Date Collected,Email Address,Source Email Address,Email Address Date Collected,Alternate Email Address,Source Alternate Email Address,Alternate Email Address Date Collected,Official Website,Source Official Website,Official Website Date Collected,Facility Head: Last Name,Facility Head: First Name,Facility Head: Middle Name,Source Facility Head,Facility Head Date Collected,Facility Head: Position,Source Facility Head: Position,Facility Head: Position Date Collected,Latitude,Longitude,Source Latitude/Longitude,Latitude/Longitude Coord Date Collected,Precision Latitude/Longitude,Source Precision Latitude/Longitude,Health Facility Status in the database,Source Health Facility Status in the database,Health Facility Status in the database Date Collected,Reason for Inactive,Source Reason for Inactive,Reason for Inactive Date Collected,Comments,Source Comments,Comments Date Collected,Approval Status,Service Capability,Licensing Status,Licensing Status Source,Licensing Status Date Collected,Bed Capacity,Bed Capacity Source,Bed Capacity Date Collected,Request Source,Column1,Column2,Column3,,,,,,,,,,,,,,,,,,
DOH000000000036381,36381,,,,,,,,,,,,,,,,,,,,,,PANGADA BARANGAY HEALTH STATION,DMO (DOH Rep),11/10/2019,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),11/10/2019,Government,DMO (DOH Rep),11/10/2019,Local Government Unit,DMO (DOH Rep),11/10/2019,,,,,,,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/10/2019,10000000,ILOCOS SUR,DMO (DOH Rep),11/10/2019,12900000,SANTA CATALINA,DMO (DOH Rep),11/10/2019,12923000,PANGADA,DMO (DOH Rep),11/10/2019,12923004,2701,DMO (DOH Rep),11/10/2019,,,,,,,+63 9167549716,DMO (DOH Rep),11/10/2019,,,,,,,,,,,,,,,,RABANG,JUANITA,RAPOSAS,DMO (DOH Rep),11/10/2019,Rural Health Midwife,DMO (DOH Rep),11/10/2019,17.582965,120.373224,NAMRIA (GPS),08/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/10/2019,Not Applicable,DMO (DOH Rep),11/10/2019,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000036382,36382,,,,,,,,,,,,,,,,,,,,,,PARATONG BARANGAY HEALTH STATION,DMO (DOH Rep),11/10/2019,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),11/10/2019,Government,DMO (DOH Rep),11/10/2019,Local Government Unit,DMO (DOH Rep),11/10/2019,,,,,,,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/10/2019,10000000,ILOCOS SUR,DMO (DOH Rep),11/10/2019,12900000,SANTA CATALINA,DMO (DOH Rep),11/10/2019,12923000,PARATONG,DMO (DOH Rep),11/10/2019,12923005,2701,DMO (DOH Rep),11/10/2019,,,,,,,+63 9167549716,DMO (DOH Rep),11/10/2019,,,,,,,,,,,,,,,,RABANG,JUANITA,RAPOSAS,DMO (DOH Rep),11/10/2019,Rural Health Midwife,DMO (DOH Rep),11/10/2019,17.585908,120.349109,NAMRIA (GPS),08/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/10/2019,Not Applicable,DMO (DOH Rep),11/10/2019,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000026121,26121,,,,,,,,,,,,,NONE,,,NONE,,,,,,POBLACION BARANGAY HEALTH STATION,DMO (DOH Rep),11/10/2019,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),11/10/2019,Government,DMO (DOH Rep),11/10/2019,Local Government Unit,DMO (DOH Rep),11/10/2019,,,,,,,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/10/2019,10000000,ILOCOS SUR,DMO (DOH Rep),11/10/2019,12900000,SANTA CATALINA,DMO (DOH Rep),11/10/2019,12923000,POBLACION,DMO (DOH Rep),11/10/2019,12923006,2701,DMO (DOH Rep),11/10/2019,,,,,,,+63 9773810715,DMO (DOH Rep),11/10/2019,,,,,,,,,,,,,,,,RAPADAS,CATHERINE,CORONEL,DMO (DOH Rep),11/10/2019,Rural Health Midwife,DMO (DOH Rep),11/10/2019,17.588868,120.363052,DOH/KMITS (Barangay Centroid),10/13/2020,low,DOH/KMITS,Active,DMO (DOH Rep),11/10/2019,Not Applicable,DMO (DOH Rep),11/10/2019,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000000296,296,DOH000000000015855,DOH/KMITS,01/07/2013,,,,,,,,,,,,,,,,01-0026-20-I-2,Regional Office,23/04/2020,RECEL MEDICAL CLINIC AND HOSPITAL,Regional Office,23/04/2020,,,,,,,,,,Infirmary,Regional Office,23/04/2020,Private,Regional Office,23/04/2020,,,,Single Proprietorship,Regional Office,23/04/2020,,,,,,,REGION I (ILOCOS REGION),Regional Office,23/04/2020,10000000,ILOCOS SUR,Regional Office,23/04/2020,12900000,SANTA CATALINA,Regional Office,23/04/2020,12923000,POBLACION,Regional Office,23/04/2020,12923006,2701,Regional Office,23/04/2020,+63 777228401,Regional Office,23/04/2020,+63 777228404,Regional Office,23/04/2020,+63 9154369626,Regional Office,23/04/2020,,,,,,,recel_clinic@yahoo.com,Regional Office,23/04/2020,,,,,,,RECEL,"ESTEBAN, JR.",REYNON,Regional Office,23/04/2020,Medical Director,Regional Office,23/04/2020,17.5885596,120.3650057,NAMRIA (GPS),08/11/2017,High,DOH/KMITS,Active,Regional Office,23/04/2020,Not Applicable,Regional Office,23/04/2020,,,,Approved,,With License,Regional Office,23/04/2020,10,Regional Office,23/04/2020,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000001732,1732,DOH000000000017055,DOH/KMITS,01/07/2013,, ,,, ,,, ,,1ILS576R,,15/12/2013, ,,, ,,,SANTA CATALINA RURAL HEALTH UNIT,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,,POBLACION,DMO (DOH Rep),11/11/2014, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS SUR,DMO (DOH Rep),11/11/2014,12900000,SANTA CATALINA,DMO (DOH Rep),11/11/2014,12923000,POBLACION,DMO (DOH Rep),11/11/2014,12923006,2701,DOH/KMITS,11/11/2014,+63 777228496,DMO (DOH Rep),11/11/2014, , ,,+63 9196756268,DMO (DOH Rep),11/11/2014,,,, , ,,doc_betchay@yahoo.com.ph,DMO (DOH Rep),11/11/2014, , ,, , ,,RAGASA,LILIBETH,REYES,DMO (DOH Rep),11/11/2014,Municipal Health Officer,DMO (DOH Rep),11/11/2014,17.589385,120.364067,NAMRIA (GPS),08/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000017062,17062,,,,,,,,,,,,, ,,, ,,,,,,SINABAAN BARANGAY HEALTH STATION,DMO (DOH Rep),11/10/2019,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),11/10/2019,Government,DMO (DOH Rep),11/10/2019,Local Government Unit,DMO (DOH Rep),11/10/2019,,,,,,,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/10/2019,10000000,ILOCOS SUR,DMO (DOH Rep),11/10/2019,12900000,SANTA CATALINA,DMO (DOH Rep),11/10/2019,12923000,SINABAAN,DMO (DOH Rep),11/10/2019,12923007,2701,DOH/KMITS,11/10/2019,,,,,,,+63 9773810715,DMO (DOH Rep),11/10/2019,,,,,,,,,,,,,,,,RAPADAS,CATHERINE,CORONEL,DMO (DOH Rep),11/10/2019,Rural Health Midwife,DMO (DOH Rep),11/10/2019,17.5864715,120.3577579,NAMRIA (GPS),08/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/10/2019,Not Applicable,DMO (DOH Rep),11/10/2019,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000038710,38710,,,,,,,,,,,,,,DMO (DOH Rep),13/05/2020,,DMO (DOH Rep),13/05/2020,,,,STA. CATALINA RHU- BIRTHING FACILITY,Regional Office,23/07/2020,,,,,,,,,,Birthing Home,Regional Office,23/07/2020,Government,Regional Office,23/07/2020,,,,,,,,,,,,,REGION I (ILOCOS REGION),Regional Office,23/07/2020,10000000,ILOCOS SUR,Regional Office,23/07/2020,12900000,SANTA CATALINA,Regional Office,23/07/2020,12923000,POBLACION,Regional Office,23/07/2020,12923006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.589385,120.364067,NAMRIA (GPS),08/11/2017,High,DOH/KMITS,Active,Regional Office,23/07/2020,Not Applicable,Regional Office,23/07/2020,,,,Approved,,With License,Regional Office,23/07/2020,3,Regional Office,23/07/2020,MOBILE REQUEST,,,,,,,,,,,,,,,,,,,,,
DOH000000000036383,36383,,,,,,,,,,,,,,,,,,,,,,SUBEC BARANGAY HEALTH STATION,DMO (DOH Rep),11/10/2019,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),11/10/2019,Government,DMO (DOH Rep),11/10/2019,Local Government Unit,DMO (DOH Rep),11/10/2019,,,,,,,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/10/2019,10000000,ILOCOS SUR,DMO (DOH Rep),11/10/2019,12900000,SANTA CATALINA,DMO (DOH Rep),11/10/2019,12923000,SUBEC,DMO (DOH Rep),11/10/2019,12923008,2701,DMO (DOH Rep),11/10/2019,,,,,,,+63 9167549716,DMO (DOH Rep),11/10/2019,,,,,,,,,,,,,,,,RABANG,JUANITA,RAPOSAS,DMO (DOH Rep),11/10/2019,Rural Health Midwife,DMO (DOH Rep),11/10/2019,17.5812101,120.352544,NAMRIA (GPS),08/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/10/2019,Not Applicable,DMO (DOH Rep),11/10/2019,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000001358,1358,DOH000000000017071,DOH/KMITS,01/07/2013,,,,,,,,,, ,,, ,,,,,,TAMORONG BARANGAY HEALTH STATION,DMO (DOH Rep),11/10/2019,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),11/10/2019,Government,DMO (DOH Rep),11/10/2019,Local Government Unit,DMO (DOH Rep),11/10/2019,,,,,,,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/10/2019,10000000,ILOCOS SUR,DMO (DOH Rep),11/10/2019,12900000,SANTA CATALINA,DMO (DOH Rep),11/10/2019,12923000,TAMORONG,DMO (DOH Rep),11/10/2019,12923009,2701,DOH/KMITS,11/10/2019,,,,,,,+63 9773810715,DMO (DOH Rep),11/10/2019,,,,,,,,,,,,,,,,RAPADAS,CATHERINE,CORONEL,DMO (DOH Rep),11/10/2019,Rural Health Midwife,DMO (DOH Rep),11/10/2019,17.598361,120.362031,NAMRIA (GPS),08/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/10/2019,Not Applicable,DMO (DOH Rep),11/10/2019,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000002572,2572,DOH000000000017124,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,BABAYOAN BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS SUR,DMO (DOH Rep),11/11/2014,12900000,SANTA CRUZ,DMO (DOH Rep),11/11/2014,12924000,BABAYOAN,DMO (DOH Rep),11/11/2014,12924002,2713,DOH/KMITS,11/11/2014, , ,, , ,, , ,,,,, , ,, , ,, , ,, , ,,CORTEZ,FILIPINA,PING-AY,DMO (DOH Rep),0000/00/00,Rural Health Midwife,DMO (DOH Rep),11/11/2014,17.051686,120.479713,NAMRIA (GPS),08/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),0000/00/00,Not Applicable,DMO (DOH Rep),0000/00/00, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000032219,32219,,,,,,,,,,,,,,,,,,,01-059-16-02-BH-1,Regional Office,23/07/2020,"DR. ANTONIO L. VALLE, SR. MEMORIAL HEALTH CENTER BIRTHING HOME",Regional Office,23/07/2020,,,,,,,,,,Birthing Home,Regional Office,23/07/2020,Government,Regional Office,23/07/2020,Local Government Unit,Regional Office,23/07/2020,,,,,,,,,,REGION I (ILOCOS REGION),Regional Office,23/07/2020,10000000,ILOCOS SUR,Regional Office,23/07/2020,12900000,SANTA CRUZ,Regional Office,23/07/2020,12924000,POBLACION WESTE,Regional Office,23/07/2020,12924033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.084597,120.447125,DOH/KMITS (Barangay Centroid),10/13/2020,low,DOH/KMITS,Active,Regional Office,23/07/2020,Not Applicable,Regional Office,23/07/2020,,,,Approved,,With License,Regional Office,23/07/2020,2,Regional Office,23/07/2020,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000005785,5785,DOH000000000017102,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,SAGAT BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,,MOLAVE STREET,DMO (DOH Rep),11/11/2014, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS SUR,DMO (DOH Rep),11/11/2014,12900000,SANTA CRUZ,DMO (DOH Rep),11/11/2014,12924000,SAGAT,DMO (DOH Rep),11/11/2014,12924037,2713,DOH/KMITS,11/11/2014, , ,, , ,, , ,,,,, , ,, , ,, , ,, , ,,JIMENO,CONSOLACION,MENDOZA,DMO (DOH Rep),0000/00/00,Rural Health Midwife,DMO (DOH Rep),11/11/2014,17.053435,120.455545,NAMRIA (GPS),08/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),0000/00/00,Not Applicable,DMO (DOH Rep),0000/00/00, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000003429,3429,DOH000000000017095,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,SAN JOSE BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,,CANCER STREET,DMO (DOH Rep),11/11/2014, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS SUR,DMO (DOH Rep),11/11/2014,12900000,SANTA CRUZ,DMO (DOH Rep),11/11/2014,12924000,SAN JOSE,DMO (DOH Rep),11/11/2014,12924039,2713,DOH/KMITS,11/11/2014, , ,, , ,, , ,,,,, , ,, , ,, , ,, , ,,LARANANG,ELENA,CANTAOI,DMO (DOH Rep),0000/00/00,Rural Health Midwife,DMO (DOH Rep),11/11/2014,17.09729,120.49461,CHD (GPS),31/10/2013,High,DOH/KMITS,Active,DMO (DOH Rep),0000/00/00,Not Applicable,DMO (DOH Rep),0000/00/00, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000007617,7617,DOH000000000017109,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,SAN PEDRO BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,,TITONG SINGSON STREET,DMO (DOH Rep),11/11/2014, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS SUR,DMO (DOH Rep),11/11/2014,12900000,SANTA CRUZ,DMO (DOH Rep),11/11/2014,12924000,SAN PEDRO,DMO (DOH Rep),11/11/2014,12924040,2713,DOH/KMITS,11/11/2014, , ,, , ,, , ,,,,, , ,, , ,, , ,, , ,,DAPEG,MANZANO,RUTH,DMO (DOH Rep),0000/00/00,Rural Health Midwife,DMO (DOH Rep),11/11/2014,17.063789,120.483753,NAMRIA (GPS),08/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),0000/00/00,Not Applicable,DMO (DOH Rep),0000/00/00, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000026123,26123,, ,,, ,,, ,,, ,, ,,, ,,, ,,,SANTA CRUZ MAIN HEALTH CENTER,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,,RIZAL STREET,DMO (DOH Rep),11/11/2014, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS SUR,DMO (DOH Rep),11/11/2014,12900000,SANTA CRUZ,DMO (DOH Rep),11/11/2014,12924000,POBLACION NORTE,DMO (DOH Rep),11/11/2014,12924032,2713,DOH/KMITS,11/11/2014, , ,, , ,, , ,,,,, , ,, , ,, , ,, , ,,ALEJANDRA,BACLUNE,C.,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,17.084871,120.450273,NAMRIA (GPS),07/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000004852,4852,DOH000000000006975,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,SANTA CRUZ RURAL HEALTH UNIT,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Rural Health Unit,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,,RIZAL STREET,DMO (DOH Rep),11/11/2014, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS SUR,DMO (DOH Rep),11/11/2014,12900000,SANTA CRUZ,DMO (DOH Rep),11/11/2014,12924000,POBLACION NORTE,DMO (DOH Rep),11/11/2014,12924032,2713,DOH/KMITS,11/11/2014, , ,,+63 776747051,DMO (DOH Rep),11/11/2014, , ,,,,, , ,, , ,, , ,, , ,,JAVILLONAR,ELALIN,JOVEN,DMO (DOH Rep),0000/00/00,Municipal Health Officer,DMO (DOH Rep),11/11/2014,17.084871,120.450273,NAMRIA (GPS),07/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),0000/00/00, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000006320,6320,DOH000000000017118,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,SEVILLA BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,,NATIONAL HIGHWAY,DMO (DOH Rep),11/11/2014, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS SUR,DMO (DOH Rep),11/11/2014,12900000,SANTA CRUZ,DMO (DOH Rep),11/11/2014,12924000,SEVILLA,DMO (DOH Rep),11/11/2014,12924042,2713,DOH/KMITS,11/11/2014, , ,, , ,, , ,,,,, , ,, , ,, , ,, , ,,GALANO,PETRA,SOLIVEN,DMO (DOH Rep),0000/00/00,Rural Health Midwife,DMO (DOH Rep),11/11/2014,17.008746,120.455691,NAMRIA (GPS),08/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),0000/00/00,Not Applicable,DMO (DOH Rep),0000/00/00, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000027864,27864,, ,,, ,,, ,,, ,, ,,, ,,, ,,,ALINCAOEG BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS SUR,DMO (DOH Rep),11/11/2014,12900000,SANTA LUCIA,DMO (DOH Rep),11/11/2014,12925000,ALINCAOEG,DMO (DOH Rep),11/11/2014,12925001,2712,DOH/KMITS,11/11/2014, , ,, , ,,+63 9175311957,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,SALGADO,CRESENCIA,VALDEZ,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,17.1432794,120.4723218,WHO (Barangay Centroid),07/08/2015,Low,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000002463,2463,DOH000000000003523,DOH/KMITS,30/12/2016,,,,,,,,,,1ILS626H,,15/12/2013,,,,,,,ILOCOS SUR DISTRICT HOSPITAL - SANTA LUCIA,DMO (DOH Rep),30/12/2016,STA LUCIA DISTRICT HOSPITAL,DMO (DOH Rep),30/12/2016,,,,,,,Hospital,DMO (DOH Rep),30/12/2016,Government,DMO (DOH Rep),30/12/2016,Local Government Unit,DMO (DOH Rep),30/12/2016,,,,NATIONAL HIGHWAY,DMO (DOH Rep),30/12/2016,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),30/12/2016,10000000,ILOCOS SUR,DMO (DOH Rep),30/12/2016,12900000,SANTA LUCIA,DMO (DOH Rep),30/12/2016,12925000,SAN JUAN,DMO (DOH Rep),30/12/2016,12925031,2712,DOH/KMITS,30/12/2016,,,,,,,+63 9209149162,DMO (DOH Rep),30/12/2016,,,,,,,SANTALUCIADISTRICTHOSPITAL@YAHOO.COM.PH,DMO (DOH Rep),30/12/2016,,,,,,,DE VERA,LETICIA,G.,DMO (DOH Rep),30/12/2016,Chief of Hospital,DMO (DOH Rep),30/12/2016,17.105534,120.455713,NAMRIA (GPS),06/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),30/12/2016,Not Applicable,DMO (DOH Rep),30/12/2016,,,,Approved,Level 1,With License,DMO (DOH Rep),30/12/2016,25,DOH/HFSRB,30/12/2016,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000001185,1185,DOH000000000017148,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,LUBA BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS SUR,DMO (DOH Rep),11/11/2014,12900000,SANTA LUCIA,DMO (DOH Rep),11/11/2014,12925000,LUBA,DMO (DOH Rep),11/11/2014,12925016,2712,DOH/KMITS,11/11/2014, , ,, , ,, , ,,,,, , ,, , ,, , ,, , ,,MORENO,EVANGELINE,PAMEROL,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,17.128329,120.437007,NAMRIA (GPS),06/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000002689,2689,DOH000000000017143,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,NAGTABLAAN BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,ILOCOS SUR,DMO (DOH Rep),11/11/2014,12900000,SANTA LUCIA,DMO (DOH Rep),11/11/2014,12925000,NAGTABLAAN,DMO (DOH Rep),11/11/2014,12925018,2712,DOH/KMITS,11/11/2014, , ,, , ,,+63 9206621025,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,DUMAG,ESMERALDA,CALIBUSO,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,17.121154,120.50055,NAMRIA (GPS),06/11/2017,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
